No,Project Name,URL,Author/Team,Likes,Bookmarks,Accessible,Status,Description,IsWinner,AwardName,AwardComment,IsFinalPitch,TechStacks,Tags,ContentSummary
1,HackMate,https://zenn.dev/yuno_miyako/articles/e2c02be1d73f7b,個人,108,8,True,200,対話型AIエージェントでGoogle AI Agentハッカソンの担当者を作ってみた,False,,,False,"[""Gemini 2.0 Flash"", ""Google Cloud"", ""Google スプレッドシート"", ""GitHub Issues"", ""YouTube"", ""SMS通知システム"", ""Google 検索グラウンディング"", ""Google Cloud Functions"", ""Google Cloud Pub/Sub""]","[""対話型AI"", ""AIエージェント"", ""カスタマーサポート"", ""業務効率化"", ""ハッカソン""]",Google AI Agentハッカソン向けに、問い合わせ対応・要望管理・緊急連絡を自動化する対話型AIエージェントを開発。質問や要望を分析し、スプレッドシート管理、GitHub Issue起票、SMS通知まで一貫して行うことで、担当者と参加者のコミュニケーションを効率化する。
2,PittariData - 3分で企業調査,https://zenn.dev/gepuro/articles/921ffb03bfc9c4,個人,144,56,True,200,Geminiが変える企業調査：AIエージェントで調査費用を100分の1以下に,False,,,False,"[""Gemini"", ""Google Cloud"", ""Gemini API"", ""AI Agent"", ""Webスクレイピング"", ""クラウドWebアプリケーション"", ""GitHub""]","[""AIエージェント"", ""企業調査"", ""業務効率化"", ""就職・転職"", ""データ分析""]",Geminiを活用したAIエージェントが、企業調査に必要な情報収集・分析を自動化し、約3分で詳細な企業レポートを生成するWebサービス。従来の法人向け調査サービスと比べて大幅な低コスト・短時間を実現し、就職・転職活動やビジネス、投資判断を支援する。
3,専門家と一緒に使うTuned AI,https://zenn.dev/kusuke/articles/6a869635709b59,個人,34,2,True,200,ちゃんと仕事でつかえる、人間を置いてきぼりにしない、専門家とAIがコラボするAIエージェント作ってみた #aiagenthackathon,False,,,False,"[""Google Cloud"", ""Gemini"", ""Large Language Models (LLM)"", ""マルチエージェントアーキテクチャ"", ""チャットUI"", ""YouTube（デモ動画）"", ""プロンプト分解設計"", ""長文コンテキスト入力（大規模トークン）""]","[""AIエージェント"", ""業務支援"", ""専門家協働"", ""プロンプト設計"", ""ナレッジ継承""]",専門家・ユーザー・AIが三位一体で協働する、仕事で本当に使えるAIエージェントを提案。専門家が業務プロセスを分解してAIに実装し、ペアプロ的にユーザーを育成しながら、AI自体も成果物から学習して精度を高めていく仕組みを実現している。
4,SnapmatchAI,https://zenn.dev/trapajim/articles/063bb27ea02d50,個人,5,0,True,200,構造化されていないデータの管理をAIで効率化：Snapmatch AIのご紹介,False,,,False,"[""Google Compute Engine"", ""Go"", ""Google Cloud Storage"", ""BigQuery"", ""BigLake"", ""Firestore"", ""Vertex AI"", ""Vertex AI マルチモーダル埋め込み"", ""text-embedding-004"", ""Cloud Run Jobs""]","[""Eコマース"", ""画像検索"", ""データ整理"", ""業務効率化"", ""AI活用""]",Snapmatch AIは、商品画像と説明文などの非構造データをAIで自動整理・照合し、画像類似検索やテキスト検索を可能にするEコマース向けカタログ管理支援ツールです。
5,tech-curator,https://zenn.dev/yutoo89/articles/ff6edf97a0f4a5,個人,9,2,True,200,tech-curator: AI Agent Hackathon with Google Cloud,False,,,False,"[""Amazon Alexa Skills Kit"", ""Google Cloud Functions"", ""Google Cloud Scheduler"", ""Google Cloud Pub/Sub"", ""Google Custom Search JSON API"", ""RSSフィード"", ""ウェブスクレイピング"", ""Embeddingモデル"", ""ベクトルデータベース"", ""RAG（Retrieval Augmented Generation）""]","[""AIエージェント"", ""Alexaスキル"", ""技術ニュース"", ""情報収集自動化"", ""RAG""]",tech-curatorは、Alexaスキルとして動作する技術ニュース収集支援ツールです。国内外のRSSや検索結果を収集・整理し、RAGを用いて要約や質問応答を生成することで、エンジニアが日常のルーティンの中で効率的かつ偏りなく技術動向を把握できるようにします。
6,エンタメチャットアプリ「にーいちよん」,https://zenn.dev/yasuna/articles/ce7e4e6dde57e3,個人,25,4,True,200,エンタメチャットアプリ「にーいちよん」による課題解決とAIエージェント実装について,False,,,False,"[""React"", ""JavaScript"", ""Google Cloud"", ""AIエージェント"", ""感情分析エンジン"", ""テキスト生成モデル"", ""フロントエンドWebアプリケーション"", ""YouTube（デモ動画配信）""]","[""エンタメアプリ"", ""チャットアプリ"", ""AIエージェント"", ""感情分析"", ""ハッカソン""]",「にーいちよん」は、学生時代のバレンタインデーのドキドキを体験できるエンタメ向けAIチャットアプリです。仮想プロフィールを用いて個性豊かなキャラクターと会話し、性格分析や感情分析を活用した日記・チャット生成により、立場や出会いの制約を超えた没入感のある体験を提供します。
7,PodcastGenerator,https://zenn.dev/s_makio/articles/ad4666accaafa2,チーム: 桃瀬戸ファクトリー,6,1,True,200,ポッドキャスト生成アプリ作ってみた,False,,,False,"[""Google Cloud Platform"", ""Cloud Run"", ""Cloud Build"", ""Cloud SQL"", ""Gemini API"", ""Cloud Text-to-Speech"", ""Translation AI"", ""Ruby on Rails"", ""Google OAuth"", ""YouTube""]","[""生成AI"", ""ポッドキャスト"", ""音声アプリ"", ""業務効率化"", ""GCP""]",記事やURLを入力することで、内容をインタビュー形式のポッドキャストとして自動生成するアプリです。Gemini APIやCloud Text-to-Speechを活用し、忙しいビジネスパーソンが通勤中などに音声で効率よく情報収集できる体験を提供します。
8,BOOKA - Book App for AI price comparison agent,https://zenn.dev/ktrips/articles/9b11fd3fca1049,個人,4,1,True,200,BOOKA - 本好きのために一番お得に本が手に入るAIエージェント・アプリ、その他のブッカも自動チェックしてくれるよ！,False,,,False,"[""Google Cloud Run"", ""Gemini"", ""OpenAI ChatGPT"", ""Anthropic Claude"", ""Google Cloud Vision API"", ""Webスクレイピング"", ""カメラAPI"", ""クラウドストレージ"", ""Web認証・ログイン機構"", ""価格比較クローリング""]","[""AIエージェント"", ""価格比較"", ""読書支援"", ""レコメンドシステム"", ""Webアプリ""]",BOOKAは、本の表紙を撮影するだけで書籍情報を認識し、複数のEC・中古・図書館サービスを巡回して最安値やおすすめ情報を提示するAIエージェント・アプリです。読書記録の保存や映画・音楽など他メディアの価格チェックにも対応します。
9,Listen-AI,https://zenn.dev/mrmtsntr/articles/3859ec6b61b63b,個人,11,3,True,200,Gemini 2.0 と Multimodal Live API で実現するヒアリング Voice エージェント,False,,,False,"[""Gemini 2.0"", ""Multimodal Live API"", ""Vertex AI"", ""Google Cloud"", ""Google AI Studio"", ""Web Audio API"", ""Filmora"", ""AivisSpeech"", ""YouTube""]","[""AIエージェント"", ""音声認識"", ""業務効率化"", ""コンサルティング"", ""採用""]",Gemini 2.0 と Multimodal Live API を活用し、定型的なヒアリング業務を音声対話で代行する Voice AI エージェントを開発。コンサルや採用業務における初期ヒアリングを非同期かつ高品質に標準化し、付加価値の高い業務への集中を支援する。
10,WatchBot,https://zenn.dev/shinyoshiaki/articles/watchbot-gemini-webrtc,個人,4,1,True,200,自然言語で監視タスクを依頼できる「WatchBot」,False,,,False,"[""Google Cloud"", ""Gemini"", ""Gemini Multimodal Live API"", ""WebRTC"", ""Amazon Alexa"", ""Google Nest"", ""Ring"", ""Cloud Run"", ""Cloud Run Jobs"", ""Cloud Pub/Sub"", ""Google Cloud Datastore"", ""Google Cloud Storage""]","[""AIエージェント"", ""スマートホーム"", ""監視システム"", ""マルチモーダルAI"", ""音声認識・映像解析""]",WatchBotは、自然言語による指示でカメラやマイクを使った監視タスクを自動実行するAIエージェントです。音声アシスタントと連携し、異常検知時のみ通知・録画を行うことで、柔軟かつプライバシーに配慮した見守りや設備監視を実現します。
11,taik mate,https://zenn.dev/nozomi_iida/articles/962b27396a127f,チーム: ぷろぐらーにんぐ,3,0,True,200,流行りのAIをつかったIELTSの採点アプリ,False,,,False,"[""Google Cloud Run"", ""Google Cloud Speech-to-Text"", ""Google Cloud Text-to-Speech"", ""Google Gemini"", ""Web Speech API"", ""JavaScript"", ""HTML5"", ""CSS"", ""RESTful Web Services""]","[""教育"", ""英語学習"", ""IELTS"", ""音声認識"", ""AIエージェント""]",IELTS受験者向けに、AIを英会話の練習相手として活用し、スピーキング力を自動採点・フィードバックするアプリ。音声認識と生成を用い、いつでも対話練習とスコア確認が可能な学習支援ツール。
12,ReGemini - Rehabilitation Gemini project,https://zenn.dev/ktrips/articles/26b0a84dadaf54,個人,0,0,True,200,ReGemini - リハビリをGeminiで生成して、双子アバターが一緒にやってくれるWebアプリ,False,,,False,"[""Google Gemini"", ""Vertex AI Gemini"", ""PoseNet"", ""TensorFlow.js"", ""Pose Animator"", ""SVG Animation"", ""Web Camera API"", ""JavaScript"", ""Web Application（ブラウザベース）"", ""Computer Vision（姿勢推定）""]","[""リハビリテーション"", ""ヘルスケア"", ""AIアプリ"", ""コンピュータビジョン"", ""ゲーミフィケーション"", ""Webアプリ""]",ReGeminiは、Google Geminiと姿勢推定技術を活用し、アバターと一緒に楽しくリハビリができるWebアプリです。治したい部位を選ぶとAIが最適な運動を生成し、ゲーム感覚で継続的なリハビリや筋トレ、ダンスを支援します。
13,BLOOMS,https://zenn.dev/kingu/articles/a36196c5c66171,個人,24,3,True,200,BLOOMS - 見つめてみよう。妊婦のあなたの日々の体調,True,🏅 Firebase賞,,True,"[""Flutter"", ""Firebase"", ""iOS"", ""Webブラウザ"", ""Google検索"", ""Text-to-Speech AI"", ""YouTube"", ""Google Cloud""]","[""ヘルスケア"", ""妊娠・マタニティ"", ""生成AI"", ""ライフログ"", ""モバイルアプリ""]",BLOOMSは、妊婦が日々の体調や出来事をテキストや写真で記録し、生成AIによる感想や検索キーワード提案、期間要約を通じて体調理解を支援するiOS/Webアプリです。安全性に配慮し、信頼できる情報収集のきっかけを提供します。
14,OctoThink,https://zenn.dev/hosaka313/articles/bc9768b8baaf0d,個人,3,0,True,200,OctoThink: GitHubにAIを溶け込ませるセルフホストGitHub App,False,,,False,"[""GitHub App"", ""Probot"", ""GitHub Actions"", ""Google Cloud"", ""Firebase Functions"", ""Firestore"", ""Google Cloud Secret Manager"", ""Cloud Run"", ""Vertex AI"", ""OpenAI"", ""Node.js"", ""Hono"", ""Zod OpenAPI"", ""Vitest""]","[""GitHub"", ""AIエージェント"", ""開発者ツール"", ""業務効率化"", ""セルフホスト""]",OctoThinkは、GitHubを日常業務の場としてAIを自然に組み込むことを目的としたセルフホスト型GitHub Appです。カスタマイズ性と壊れにくさを重視し、Issue要約や類似検索などをAIで支援します。
