No,Project Name,URL,Author/Team,Likes,Bookmarks,Accessible,Status,Description,IsWinner,AwardName,AwardComment,IsFinalPitch
1,ベビタ（BabyTouch）,https://zenn.dev/mikkikimasutaro/articles/aae52e44fb2d12,個人,2,0,True,200,ベビタ: タッチで遊ぶ、赤ちゃん向けフィードバックアプリの開発記録,False,,,False
2,化粧品分析AIエージェント、AI Skin Compassの開発,https://zenn.dev/panchorange/articles/b99d5fb95bd103,チーム: ひがぱん,2,0,True,200,【Flutter×GCP】化粧品成分分析 モバイルアプリ「AI Skin Compass」,False,,,False
3,Linux Reader - Linux本家コードをAIで読もうとする挑戦 -,https://zenn.dev/coffeecupjp/articles/09eaa20edcf2c0,個人,8,1,True,200,Linux Reader - Linux本家コードをAIで読もうとする挑戦 -,False,,,False
4,AIによるリアルタイム実況テキスト付きブロック崩しゲーム,https://zenn.dev/megane_otoko/articles/93_ai_agent_hackathon_2nd,個人,2,0,True,200,第2回 AI Agent Hackathon with Google Cloud 参加,False,,,False
5,todo-chronicle,https://zenn.dev/sochi/articles/c28d78c190da05,個人,4,0,True,200,タスク完了で物語が進む！Gemini APIで作る異世界ファンタジーToDoアプリ 〜タスクをこなして、世界を救え〜,False,,,False
6,投資パートナー AIエージェント「Investallia」,https://zenn.dev/to418/articles/f34cf8bb397f59,個人,4,2,True,200,若年層向け投資パートナー AIエージェント「Investallia」,False,,,False
7,菜園の匠,https://zenn.dev/myapp/articles/fdf58e5529a43f,チーム: Developers_Miya,3,0,True,200,家庭菜園AIアプリ「菜園の匠」【AI Agent Hackathon】,False,,,False
8,紙カルテ電子化AIエージェントシステム,https://zenn.dev/fumi_mizu/articles/505cbd14678388,個人,5,3,True,200,紙カルテ電子化AIエージェントシステム,False,,,False
9,地図の中の哲学者,https://zenn.dev/vel3633/articles/b06e8ded842ea7,チーム: 社会人2年目,5,3,True,200,AIは「地方の過疎化」を救えるか？ 地域の物語を紡ぐAIエージェント「地図の中の哲学者」の挑戦,False,,,False
10,AIry Recipe,https://zenn.dev/hal1986/articles/20250630-hackathon,個人,13,1,True,200,料理体験をアップデートするレシピアプリ「AIry Recipe」の開発,True,🏅 Gemma賞,当プロジェクトは、料理シーンにおける具体的な課題を、最新AI技術で見事に解決している優れたアプリです。多くの人が経験する「調理中で手が離せない」というストレスに対し、「声だけですべてを操作できる」という体験は、最も直接的でスマートな解決策と言えるでしょう。特に、Gemma 3nと音声認識機能の活用方法が素晴らしかったです。単に「次の工程へ」といったコマンド認識だけでなく、「この食材の代わりは？」といった料理中の突発的な疑問にも即座に対話形式で回答できる点を高く評価いたします。,True
11,パーソナル日本語学習チューターAI「NihonGo!」,https://zenn.dev/kenta1114/articles/738c3212b345e2,個人,1,0,True,200,パーソナル日本語学習チューターAI「NihonGo!」,False,,,False
12,TriviaGuideMap,https://zenn.dev/tatetate/articles/a16d5dcb495bdf,個人,,,False,HTTP 403,TriviaGuideMap,False,,,False
13,PPP - Personalized Podcast Platfrom -,https://zenn.dev/soundtricker/articles/147c8e6d99f015,個人,12,2,True,200,🎙️ AI ポッドキャスト生成プラットフォーム  PPP,False,,,False
14,Gemiyou,https://zenn.dev/yukilab/articles/f281ec36462357,個人,7,2,True,200,AIが人間にタスクを依頼する逆転発想アプリ「Gemiyou」の開発記録,False,,,False
15,HabitLink,https://zenn.dev/tsukasajapan/articles/acf4ff56c0a68e,チーム: 地球オールスターズ,7,2,True,200,指導者と生徒を結ぶ、習慣化AIエージェント「HabitLink」,False,,,False
16,ペット問診・診断サイト,https://zenn.dev/pd98/articles/df961bfb03b276,個人,2,0,True,200,AIペット診断「Petnosis」プロジェクト,False,,,False
17,よみあげくん,https://zenn.dev/kotoriyama/articles/cdf88b2f3e745c,個人,6,0,True,200,会議資料が読みにくい？AIエージェント×Genkitで1日開発した読み上げアプリの話,False,,,False
18,らくらく日記,https://zenn.dev/yamadamadamada/articles/2037f9bad4775c,個人,5,0,True,200,めんどくさがり屋のための日記サービス 【らくらく日記】,False,,,False
19,PersonalCast,https://zenn.dev/henteko/articles/523c1cb87b5a27,個人,5,1,True,200,PersonalCast - 日々のメモからAIパーソナリティが番組を生成！,False,,,False
20,zenith-assistant,https://zenn.dev/k__kanke/articles/4a9d2d9569aba4,個人,4,1,True,200,自然言語チャットからGoogleカレンダーの空き時間検索・予定登録ができるAIエージェント構築,False,,,False
21,Solilo,https://zenn.dev/numekudi/articles/29e22e8806b0c5,個人,8,1,True,200,AIと心療内科シミュレーション！「うまく伝えられない」を解消する一人用タイムライン型体調メモ 第2回 AI Agent Hackathon,False,,,False
22,Whisky AI Bartender,https://zenn.dev/yu5uke1024/articles/03adf04313af62,チーム: Nara Family,24,1,True,200,Multi AgentとGoogle Cloudで変革する、パーソナルなウイスキー体験【第2回AI Agent Hackathon】,False,,,False
23,ワンダーストーリー,https://zenn.dev/taku_sid/articles/83ecad2d420ebb,チーム: r488it,6,0,True,200,うさぎでもわかる🐰すべての子どもに質の高い教育を AIエージェント「ワンダーストーリー」の紹介,False,,,False
24,AniMaker AIアニメイカー,https://zenn.dev/ktrips/articles/e1d720a439d7cb,個人,3,1,True,200,AniMaker AIアニメイカー,False,,,False
25,Sofia,https://zenn.dev/fkky/articles/e12b7deaf028d6,個人,10,2,True,200,知的作業の見えない仕事を見える化するAIシステム【Sofia】,False,,,False
26,Infinite Intelligence: 知性の最強チームを創る,https://zenn.dev/nujatigus/articles/be134aef2bc5d2,個人,,,False,HTTP 403,Infinite Intelligence: 知性の最強チームを創る,False,,,False
27,Growth Buddy - 従業員と伴走するAIエージェントシステム,https://zenn.dev/zazen_inu/articles/bb3e9ec90c256d,チーム: manabi-dx-crew,18,5,True,200,Growth Buddy 従業員と伴走するAIエージェントシステム,False,,,False
28,DbRheo（ディービー・レオ）,https://zenn.dev/acntechjp/articles/9264063c34fc3c,個人,13,2,True,200,DbRheo：自然言語だけでAI Agentがデータベース操作完結【AI Agent Hackathon】,False,,,False
